type	latitude	longitude	name
W	-3.076577940	-59.930534250	PP01 [257:Point]
W	-3.076437640	-59.930219740	PP01 [258:Point]
W	-3.076223080	-59.930318670	PP01 [259:Point]
W	-3.076054100	-59.930419500	PP01 [260:Point]
W	-3.075852360	-59.930521700	PP01 [261:Point]
W	-3.075681480	-59.930669060	PP01 [262:Point]
W	-3.075420480	-59.930774140	PP01 [263:Point]
W	-3.075766910	-59.930859200	PP01 [264:Point]
W	-3.075840490	-59.931039840	PP01 [265:Point]
W	-3.075928300	-59.931225230	PP01 [266:Point]
W	-3.076042220	-59.931472420	PP01 [267:Point]
W	-3.076205980	-59.931817050	PP01 [268:Point]
W	-3.076319990	-59.932040970	PP01 [269:Point]
W	-3.076414920	-59.932240620	PP01 [270:Point]
W	-3.076509850	-59.932430760	PP01 [271:Point]
W	-3.076623700	-59.932673890	PP01 [272:Point]
W	-3.076853920	-59.933154000	PP01 [273:Point]
W	-3.076960720	-59.933356030	PP01 [274:Point]
W	-3.077060400	-59.933574700	PP01 [275:Point]
W	-3.077152000	-59.933834200	PP01 [276:Point]
W	-3.077294400	-59.934134860	PP01 [277:Point]
W	-3.077445100	-59.934407020	PP01 [278:Point]
W	-3.077558880	-59.934650390	PP01 [279:Point]
W	-3.077789230	-59.935136560	PP01 [280:Point]
W	-3.077882650	-59.935388010	PP01 [281:Point]
W	-3.077993120	-59.934479790	PP01 [282:Point]
W	-3.077856880	-59.934189100	PP01 [283:Point]
W	-3.077696790	-59.933913170	PP01 [284:Point]
W	-3.077597380	-59.933677490	PP01 [285:Point]
W	-3.077518470	-59.933487950	PP01 [286:Point]
W	-3.077352320	-59.933155190	PP01 [287:Point]
W	-3.077233660	-59.932917510	PP01 [288:Point]
W	-3.077088890	-59.932620410	PP01 [289:Point]
W	-3.076958350	-59.932351830	PP01 [290:Point]
W	-3.076837300	-59.932085630	PP01 [291:Point]
W	-3.076742370	-59.931900240	PP01 [292:Point]
W	-3.076609460	-59.931603140	PP01 [293:Point]
W	-3.076471800	-59.931317930	PP01 [294:Point]
W	-3.076365000	-59.931075490	PP01 [295:Point]
W	-3.076270070	-59.930885350	PP01 [296:Point]
W	-3.076172760	-59.930666680	PP01 [297:Point]
